gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_2,DE.TMC.day5_3
ENSG00000184009,ACTG1,7.20377,7.20336,7.24696,7.29355,7.20915,7.44624,7.40283,7.46278,6.33455,5.86476,6.45598
ENSG00000140526,ABHD2,4.3171,4.41168,4.36129,4.41381,4.42077,4.40696,4.43819,4.31599,3.649,2.47996,3.26502
ENSG00000160789,LMNA,5.46796,5.41752,5.41107,5.39283,5.35144,5.49011,5.51821,5.61159,4.96075,4.93522,4.94462
ENSG00000129911,KLF16,2.90418,2.83697,2.87958,2.8558,2.82643,2.87307,2.80175,2.91174,2.52631,2.30293,2.65143
ENSG00000090621,PABPC4,4.68072,4.68576,4.74608,4.68984,4.71109,4.7837,4.83994,4.84488,5.1763,5.28008,5.16292
ENSG00000137409,MTCH1,4.8897,4.91586,4.9051,4.9376,4.9635,5.0552,5.03331,5.10389,4.48244,4.42729,4.56206
ENSG00000169242,EFNA1,3.81368,3.84475,3.81304,3.79329,3.8457,3.86147,3.99369,3.85903,3.92539,4.11882,3.99303
ENSG00000131871,VIMP,4.12827,4.17217,4.16007,4.16642,4.09965,4.24393,4.22791,4.2211,5.55865,5.52376,5.5594
ENSG00000068137,PLEKHH3,3.3556,3.41553,3.33057,3.4176,3.36351,3.02631,3.17828,3.08522,3.13422,2.9481,3.01575
ENSG00000048471,SNX29,1.94283,1.90353,1.92405,1.89824,1.89873,1.8662,1.94138,2.11746,1.85241,1.60862,1.68846
ENSG00000024048,UBR2,2.10873,2.1384,2.19768,2.18918,2.12354,2.14837,2.13899,2.14083,2.26576,1.80734,2.14556
ENSG00000111640,GAPDH,7.22789,7.29163,7.29449,7.26411,7.28777,7.26021,7.27763,7.28996,6.47068,7.18319,6.64919
ENSG00000108055,SMC3,2.58363,2.57831,2.58245,2.51086,2.61294,2.67462,2.57802,2.4682,2.50544,2.77612,2.4732
ENSG00000005022,SLC25A5,5.76298,5.68707,5.77114,5.7525,5.7458,5.88286,5.7692,5.80523,5.2542,5.69266,5.36011
ENSG00000180964,TCEAL8,3.63543,3.57232,3.62114,3.55633,3.61274,3.6929,3.74837,3.59814,3.45617,3.6391,3.32305
ENSG00000104131,EIF3J,3.51127,3.51213,3.51508,3.44339,3.47058,3.54838,3.71273,3.49394,3.96996,5.2341,4.11457
ENSG00000113384,GOLPH3,4.15289,4.15716,4.13164,4.17931,4.08337,4.18317,4.19912,4.10057,4.28685,4.08808,4.16251
ENSG00000025800,KPNA6,2.55206,2.56532,2.62072,2.58663,2.63612,2.49066,2.53698,2.57119,2.24337,2.676,2.17625
ENSG00000181029;ENSG00000269711,TRAPPC5;CTD-3214H19.16,4.36979,4.31825,4.28821,4.30719,4.30466,4.37215,4.40345,4.38999,4.26249,4.72176,4.22893
ENSG00000100099,HPS4,3.26483,3.23875,3.31924,3.28202,3.29575,3.36697,3.33015,3.34509,3.13775,2.69893,3.04118
ENSG00000111897,SERINC1,4.84274,4.7536,4.78195,4.79154,4.77895,4.83409,4.78658,4.68766,5.06322,4.89513,5.08607
ENSG00000125970,RALY,4.52236,4.55907,4.45997,4.46731,4.49513,4.69043,4.72111,4.69387,4.33073,4.88509,4.3812
ENSG00000105647,PIK3R2,3.76365,3.79503,3.81518,3.73533,3.79541,3.69268,3.63974,3.68692,3.22301,2.27995,3.24432
ENSG00000116030,SUMO1,4.17612,4.13799,4.08825,4.10999,4.13015,4.2319,4.15657,4.0212,4.12303,4.60323,4.17112
ENSG00000102181,CD99L2,3.6692,3.63639,3.7009,3.60443,3.64563,3.6201,3.66719,3.71129,3.00195,2.70333,3.13249
ENSG00000106608,URGCP,3.18269,3.25214,3.20683,3.28274,3.23858,3.07027,3.11807,3.1618,3.01885,2.60674,2.87823
ENSG00000175756,AURKAIP1,4.84848,4.77742,4.8173,4.80358,4.80697,4.89472,4.81127,4.88552,4.83219,5.42268,4.8695
ENSG00000121579,NAA50,4.33099,4.29235,4.3789,4.32882,4.34576,4.32331,4.38098,4.25119,4.33013,3.69264,4.23799
ENSG00000160075,SSU72,4.60806,4.56637,4.62622,4.66117,4.60509,4.74653,4.68925,4.8125,4.7828,5.34074,4.91208
ENSG00000084234,APLP2,6.05819,6.01658,6.08718,6.09912,6.09456,6.15101,6.01867,6.08741,5.77387,5.37129,5.73351
ENSG00000160679,CHTOP,3.55119,3.50731,3.54979,3.48806,3.4998,3.5881,3.48887,3.54568,3.29175,3.73813,3.42605
ENSG00000138867,GUCD1,4.32977,4.37499,4.40982,4.43376,4.3794,4.39778,4.21095,4.26648,4.23257,5.01857,4.28896
ENSG00000133275,CSNK1G2,4.1296,4.17164,4.15165,4.107,4.13515,4.09872,4.18117,4.16812,3.44195,3.05059,3.55314
ENSG00000107949,BCCIP,3.31504,3.27734,3.32344,3.24499,3.26589,3.43063,3.39575,3.38676,3.3272,3.82655,3.36361
ENSG00000172380,GNG12,3.63658,3.55412,3.62647,3.58039,3.58363,3.7956,3.72626,3.57004,3.62826,3.6451,3.55397
ENSG00000183889;ENSG00000244257,AC138969.4;PKD1P1,3.51337,3.58264,3.55428,3.6371,3.56376,3.4726,3.66425,3.63607,3.79019,1.32203,3.59489
ENSG00000109861,CTSC,5.00039,4.96366,5.049,5.01501,5.0607,5.51446,5.44824,5.44176,3.35329,3.5389,3.56063
ENSG00000134905,CARS2,3.84176,3.78276,3.77211,3.75747,3.74987,3.8987,3.87497,3.91488,3.29355,3.92695,3.31094
ENSG00000113407,TARS,3.78583,3.85162,3.86824,3.8831,3.83433,3.98313,3.97263,3.86888,4.24957,4.65731,4.22027
ENSG00000198952,SMG5,4.11013,4.15498,4.16526,4.20145,4.14879,4.06099,4.09389,4.02607,3.92675,3.22543,3.77368
ENSG00000001036,FUCA2,4.37371,4.31954,4.38711,4.35954,4.41938,4.58935,4.49441,4.49107,4.16469,4.30012,4.24706
ENSG00000188690,UROS,3.92292,3.92,3.85372,3.85869,3.86938,4.08541,4.03252,4.10319,3.36961,4.27278,3.42392
ENSG00000122692,SMU1,2.03212,2.09557,2.07024,2.07245,2.10121,2.14122,2.18348,2.11165,1.97179,1.80506,1.94149
ENSG00000126088,UROD,5.07576,5.08763,5.04856,5.03226,5.01662,5.05961,5.001,4.96756,4.84372,5.09993,4.78396
ENSG00000070756,PABPC1,6.21602,6.2621,6.31718,6.28343,6.29359,6.43806,6.4554,6.58223,6.54682,6.28406,6.54022
ENSG00000091317,CMTM6,3.89347,3.80896,3.88146,3.83903,3.82715,3.77495,3.77177,3.59901,3.14002,3.10702,3.05666
ENSG00000108312,UBTF,3.73869,3.73194,3.72964,3.68783,3.67318,3.76747,3.74117,3.78843,3.27286,2.50238,3.26072
ENSG00000116266,STXBP3,3.25071,3.21306,3.27973,3.27776,3.26176,3.38642,3.26483,3.34955,3.12303,2.84669,3.06107
ENSG00000130811,EIF3G,4.99096,4.93977,4.94059,4.93875,4.88349,5.11347,5.10534,5.2158,5.25899,5.56504,5.26153
ENSG00000204149,AGAP6,2.59654,2.53271,2.57202,2.58275,2.5475,2.3901,2.49014,2.4872,2.84128,2.74125,2.81699
ENSG00000100580,TMED8,1.58182,1.57895,1.61983,1.60018,1.53135,1.53401,1.59949,1.584,0.754646,0.139133,0.664941
ENSG00000073921,PICALM,4.61855,4.58845,4.64489,4.65601,4.5972,4.79179,4.76293,4.74592,4.70491,4.0021,4.56245
ENSG00000119242,CCDC92,3.74751,3.7384,3.78577,3.72982,3.71208,3.82839,3.93162,3.90958,3.53294,3.89247,3.74008
