gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000145194,ECE2,1.60469,1.65494,1.8800700000000001,1.7902099999999999,1.72849,2.07004,1.67628,1.9552200000000002,1.9156,1.6603900000000003
ENSG00000148291,SURF2,2.86734,2.85182,2.86,2.82508,2.68782,2.98998,2.6423,2.87633,2.62145,2.77583
ENSG00000243667,WDR92,1.61978,1.59788,1.5658,1.79361,1.6655900000000001,1.5892700000000002,1.73986,1.92388,1.35606,1.6174899999999999
ENSG00000121989,ACVR2A,1.8281599999999998,1.77272,1.64428,1.54826,1.58551,1.68891,1.4717,1.4069200000000002,1.9130099999999999,2.11043
ENSG00000166326,TRIM44,3.21572,3.1894,3.3503,3.0994599999999997,3.2200599999999997,3.2347799999999998,3.3300300000000003,3.38849,3.5571800000000002,3.3541
ENSG00000108639,SYNGR2,5.00365,4.98815,4.9801,5.15666,5.06438,5.50862,5.418480000000001,5.44114,4.69725,4.7896
ENSG00000140262,TCF12,3.1762200000000003,3.16063,2.96659,3.1499200000000003,3.20725,3.22127,3.2871699999999997,3.26389,3.30312,3.19485
ENSG00000181555,SETD2,2.36179,2.58419,2.58259,2.54136,2.60851,2.66908,2.5682,2.58696,2.48791,2.30343
ENSG00000166734,CASC4,3.6008199999999997,3.54227,3.5152099999999997,3.3463800000000004,3.3941800000000004,3.54927,3.58773,3.56395,3.66991,3.57101
ENSG00000274422,LL22NC03-2H8.5,0.49607414,0.49607414,0.49607414,0.535964,0.29161,-0.221586,0.198374,0.0400978,-0.158591,-0.386518
ENSG00000171109,MFN1,2.89891,2.86159,2.89197,2.65955,2.77081,2.97925,2.94295,3.0304599999999997,3.0883599999999998,2.84225
ENSG00000056586,RC3H2,2.51878,2.68044,2.49703,2.39488,2.56124,2.3681900000000002,2.36937,2.67865,2.27235,2.12878
ENSG00000072062,PRKACA,4.1073900000000005,4.24196,4.26697,4.1578,4.18805,4.1569400000000005,4.18532,4.13593,3.98319,4.00495
ENSG00000164615,CAMLG,3.01332,2.72975,2.86497,2.76844,2.84706,2.94309,2.86738,2.76345,2.99628,2.9548400000000004
ENSG00000152944,MED21,2.65931,2.74345,2.6655,2.7833099999999997,2.90917,2.5371900000000003,2.5534,2.39676,2.65964,2.52173
ENSG00000102221,JADE3,1.7003400000000002,1.6326399999999999,1.60731,1.54544,1.3916,1.53166,1.51786,1.51385,1.54725,1.52709
ENSG00000143198,MGST3,5.14604,5.1125300000000005,5.19693,5.28217,5.31447,5.50505,5.45781,5.53338,4.57972,4.75014
ENSG00000008018,PSMB1,5.28742,5.167999999999999,5.18936,5.0274,5.05408,5.16,5.13439,5.12809,4.85211,4.9320699999999995
ENSG00000170017,ALCAM,4.15158,4.1556,4.15238,4.2967900000000006,4.32378,3.9579199999999997,4.02458,4.02219,3.7113699999999996,3.67184
ENSG00000162065,TBC1D24,2.28793,2.33015,2.37209,2.46788,2.58114,2.23251,2.53709,2.23055,1.7551599999999998,1.5642399999999999
ENSG00000196470,SIAH1,2.6055,2.6467,2.73086,2.54326,2.6343099999999997,2.75104,2.6934099999999996,2.79839,3.22382,3.10285
ENSG00000156650,KAT6B,1.72081,1.65583,1.68943,1.4880200000000001,1.5162200000000001,1.62175,1.58312,1.6934,1.82207,1.7354599999999998
ENSG00000080200,CRYBG3,1.53841,1.4565700000000001,1.42114,1.60584,1.2868600000000001,1.27243,1.47692,1.5574299999999999,1.4667700000000001,0.9535040000000001
ENSG00000154124,OTULIN,2.8655,2.83409,2.8369,2.84521,3.0485599999999997,2.5869,2.59349,2.69011,2.33212,2.32403
ENSG00000119865,CNRIP1,2.1987099999999997,2.29682,2.2061900000000003,2.4647799999999997,2.35249,2.3871599999999997,2.44714,2.62128,2.14344,1.99393
ENSG00000137154,RPS6,6.75016,6.6501399999999995,6.670319999999999,6.50116,6.5099599999999995,6.83736,6.764689999999999,6.7682899999999995,6.881710000000001,6.97203
ENSG00000069248,NUP133,2.3153900000000003,2.27866,2.23794,2.44087,2.29739,2.29586,2.52647,2.34114,1.95488,2.3168900000000003
ENSG00000113851,CRBN,3.4744599999999997,3.2995900000000002,3.2236599999999997,3.33829,3.24455,3.19644,3.18438,3.06291,3.16771,3.23834
ENSG00000156471,PTDSS1,4.06201,4.13212,4.24041,4.2637599999999996,4.35856,4.439019999999999,4.38563,4.41311,4.10597,4.2023
ENSG00000136636,KCTD3,3.32974,3.19387,3.3231900000000003,3.3888800000000003,3.3181599999999998,3.1579599999999997,3.05113,2.9817400000000003,2.98195,2.90722
ENSG00000188021,UBQLN2,2.4596400000000003,2.5836900000000003,2.59585,2.6829,2.75201,2.88435,2.84172,2.81946,2.65052,2.57729
ENSG00000263753,LINC00667,3.18673,3.16874,3.20681,3.10038,2.9889200000000002,3.13689,3.1139,3.2518,3.3289,3.20912
ENSG00000206418,RAB12,3.4015400000000002,3.2801199999999997,3.26287,3.10323,3.1180000000000003,3.3645199999999997,3.23687,3.11273,3.1968400000000003,3.1577
ENSG00000110218,PANX1,3.0651900000000003,3.01843,2.8588299999999998,2.8289,2.80363,3.0575,2.9492599999999998,2.9836099999999997,2.65945,2.61374
ENSG00000133678,TMEM254,2.4545,2.63332,2.66933,2.7010099999999997,2.57818,2.41653,2.5278,2.48175,2.59269,2.73535
